Country/Region,Confirmed,Deaths,Recovered,Cases_per_1000,Cluster
Kenya,17975,285,7833,0.0,0
Kosovo,7413,185,4027,0.0,0
Kuwait,64379,438,55057,0.0,0
Kyrgyzstan,33296,1301,21205,0.0,0
Laos,20,0,19,0.0,0
Latvia,1219,31,1045,0.0,0
Lebanon,3882,51,1709,0.0,0
Lesotho,505,12,128,0.0,0
Liberia,1167,72,646,0.0,0
Libya,2827,64,577,0.0,0
Liechtenstein,86,1,81,0.0,0
Lithuania,2019,80,1620,0.0,0
Luxembourg,6321,112,4825,0.0,0
Madagascar,9690,91,6260,0.0,0
Malawi,3664,99,1645,0.0,0
Malaysia,8904,124,8601,0.0,0
Maldives,3369,15,2547,0.0,0
Mali,2513,124,1913,0.0,0
Malta,701,9,665,0.0,0
Mauritania,6208,156,4653,0.0,0
Mauritius,344,10,332,0.0,0
Mexico,395489,44022,303810,0.0,3
Moldova,23154,748,16154,0.0,0
Monaco,116,4,104,0.0,0
Mongolia,289,0,222,0.0,0
Montenegro,2893,45,809,0.0,0
Morocco,20887,316,16553,0.0,0
Mozambique,1701,11,0,0.0,0
Namibia,1843,8,101,0.0,0
Nepal,18752,48,13754,0.0,0
Netherlands,119,3,102,0.0,0
New Zealand,1557,22,1514,0.0,0
Nicaragua,3439,108,2492,0.0,0
Niger,1132,69,1027,0.0,0
Nigeria,41180,860,18203,0.0,0
North Macedonia,10213,466,5564,0.0,0
Norway,9132,255,8752,0.0,0
Oman,77058,393,57028,0.0,0
Pakistan,274289,5842,241026,0.0,0
Panama,61442,1322,35086,0.0,0
Papua New Guinea,62,0,11,0.0,0
Paraguay,4548,43,2905,0.0,0
Peru,389717,18418,272547,0.0,3
Philippines,82040,1945,26446,0.0,0
Poland,43402,1676,32856,0.0,0
Portugal,50299,1719,35375,0.0,0
Qatar,109597,165,106328,0.0,0
Romania,45902,2206,25794,0.0,0
Russia,816680,13334,602249,0.0,3
Rwanda,1879,5,975,0.0,0
Saint Kitts and Nevis,17,0,15,0.0,0
Saint Lucia,24,0,22,0.0,0
Saint Vincent and the Grenadines,52,0,39,0.0,0
San Marino,699,42,657,0.0,0
Sao Tome and Principe,865,14,734,0.0,0
Saudi Arabia,268934,2760,222936,0.0,0
Senegal,9764,194,6477,0.0,0
Serbia,24141,543,0,0.0,0
Seychelles,114,0,39,0.0,0
Sierra Leone,1783,66,1317,0.0,0
Singapore,50838,27,45692,0.0,0
Slovakia,2181,28,1616,0.0,0
Slovenia,2087,116,1733,0.0,0
Somalia,3196,93,1543,0.0,0
South Africa,452529,7067,274925,0.0,3
South Korea,14203,300,13007,0.0,0
South Sudan,2305,46,1175,0.0,0
Spain,272421,28432,150376,0.0,3
Sri Lanka,2805,11,2121,0.0,0
Sudan,11424,720,5939,0.0,0
Suriname,1483,24,925,0.0,0
Sweden,79395,5700,0,0.0,0
Switzerland,34477,1978,30900,0.0,0
Syria,674,40,0,0.0,0
Taiwan*,462,7,440,0.0,0
Tajikistan,7235,60,6028,0.0,0
Tanzania,509,21,183,0.0,0
Thailand,3297,58,3111,0.0,0
Timor-Leste,24,0,0,0.0,0
Togo,874,18,607,0.0,0
Trinidad and Tobago,148,8,128,0.0,0
Tunisia,1455,50,1157,0.0,0
Turkey,227019,5630,210469,0.0,0
US,4290259,148011,1325804,0.0,1
Uganda,1128,2,986,0.0,0
Ukraine,67096,1636,37202,0.0,0
United Arab Emirates,59177,345,52510,0.0,0
United Kingdom,154,9,141,0.0,0
Uruguay,1202,35,951,0.0,0
Uzbekistan,21209,121,11674,0.0,0
Venezuela,15988,146,9959,0.0,0
Vietnam,431,0,365,0.0,0
West Bank and Gaza,10621,78,3752,0.0,0
Western Sahara,10,1,8,0.0,0
Yemen,1691,483,833,0.0,0
Zambia,4552,140,2815,0.0,0
Zimbabwe,2704,36,542,0.0,0
